$GPGGA,193351.000,3713.9409,1,08025.5069,-1,1,06,1.24,613.2,M,-32.8,M,,*56,,,,,
$GPGGA,193352.000,3713.9414,1,08025.5064,-1,1,06,1.24,613.2,M,-32.8,M,,*54,,,,,
$GPGGA,193353.000,3713.9418,1,08025.5059,-1,1,06,1.24,613.2,M,-32.8,M,,*57,,,,,
$GPGGA,193354.000,3713.9423,1,08025.5053,-1,1,06,1.24,613.2,M,-32.8,M,,*52,,,,,
$GPGGA,193355.000,3713.9429,1,08025.5049,-1,1,06,1.24,613.3,M,-32.8,M,,*53,,,,,
$GPGGA,193356.000,3713.9434,1,08025.5043,-1,1,06,1.24,613.4,M,-32.8,M,,*51,,,,,
$GPGGA,193357.000,3713.9439,1,08025.5037,-1,1,06,1.24,613.6,M,-32.8,M,,*5C,,,,,
$GPGGA,193358.000,3713.9444,1,08025.5031,-1,1,06,1.24,613.7,M,-32.8,M,,*5+1,,,,,
$GPGGA,193359.000,3713.9449,1,08025.5025,-1,1,06,1.24,613.9,M,-32.8,M,,*59,,,,,
$GPGGA,193400.000,3713.9454,1,08025.5019,-1,1,06,1.24,614.0,M,-32.8,M,,*5F,,,,,
$GPGGA,193401.000,3713.9458,1,08025.5013,-1,1,06,1.24,614.1,M,-32.8,M,,*59,,,,,
$GPGGA,193402.000,3713.9461,1,08025.5006,-1,1,06,1.24,614.2,M,-32.8,M,,*57,,,,,
$GPGGA,193403.000,3713.9466,1,08025.4999,-1,1,06,1.24,614.3,M,-32.8,M,,*5+1,,,,,
$GPGGA,193404.000,3713.9471,1,08025.4992,-1,1,06,1.24,614.5,M,-32.8,M,,*52,,,,,
$GPGGA,193405.000,3713.9476,1,08025.4985,-1,1,06,1.24,614.6,M,-32.8,M,,*51,,,,,
$GPGGA,193406.000,3713.9481,1,08025.4979,-1,1,06,1.24,614.8,M,-32.8,M,,*57,,,,,
$GPGGA,193407.000,3713.9486,1,08025.4973,-1,1,06,1.24,614.9,M,-32.8,M,,*5A,,,,,
$GPGGA,193408.000,3713.9490,1,08025.4967,-1,1,06,1.24,615.0,M,-32.8,M,,*5F,,,,,
$GPGGA,193409.000,3713.9495,1,08025.4960,-1,1,06,1.24,615.1,M,-32.8,M,,*5D,,,,,
$GPGGA,193410.000,3713.9500,1,08025.4954,-1,1,06,1.24,615.2,M,-32.8,M,,*5C,,,,,
$GPGGA,193411.000,3713.9505,1,08025.4948,-1,1,06,1.24,615.3,M,-32.8,M,,*54,,,,,
$GPGGA,193412.000,3713.9510,1,08025.4942,-1,1,06,1.24,615.4,M,-32.8,M,,*5+1,,,,,
$GPGGA,193413.000,3713.9515,1,08025.4935,-1,1,06,1.24,615.4,M,-32.8,M,,*5A,,,,,
$GPGGA,193414.000,3713.9519,1,08025.4929,-1,1,06,1.24,615.5,M,-32.8,M,,*5D,,,,,
$GPGGA,193415.000,3713.9524,1,08025.4923,-1,1,06,1.24,615.5,M,-32.8,M,,*58,,,,,
$GPGGA,193416.000,3713.9528,1,08025.4916,-1,1,06,1.24,615.6,M,-32.8,M,,*52,,,,,
$GPGGA,193417.000,3713.9533,1,08025.4910,-1,1,06,1.24,615.7,M,-32.8,M,,*5+1,,,,,
$GPGGA,193418.000,3713.9537,1,08025.4903,-1,1,06,1.24,615.8,M,-32.8,M,,*58,,,,,
$GPGGA,193419.000,3713.9541,1,08025.4897,-1,1,06,1.24,615.8,M,-32.8,M,,*54,,,,,
$GPGGA,193420.000,3713.9545,1,08025.4891,-1,1,06,1.24,615.8,M,-32.8,M,,*5C,,,,,
$GPGGA,193421.000,3713.9550,1,08025.4886,-1,1,06,1.24,615.9,M,-32.8,M,,*5+1,,,,,
$GPGGA,193422.000,3713.9556,1,08025.4880,-1,1,06,1.24,615.9,M,-32.8,M,,*5D,,,,,
$GPGGA,193423.000,3713.9561,1,08025.4874,-1,1,06,1.24,616.0,M,-32.8,M,,*59,,,,,
$GPGGA,193424.000,3713.9566,1,08025.4868,-1,1,06,1.24,616.1,M,-32.8,M,,*55,,,,,
$GPGGA,193425.000,3713.9573,1,08025.4864,-1,1,06,1.24,616.1,M,-32.8,M,,*5C,,,,,
$GPGGA,193426.000,3713.9579,1,08025.4860,-1,1,06,1.24,616.1,M,-32.8,M,,*51,,,,,
$GPGGA,193427.000,3713.9586,1,08025.4857,-1,1,06,1.24,616.1,M,-32.8,M,,*54,,,,,
$GPGGA,193428.000,3713.9593,1,08025.4855,-1,1,06,1.24,616.2,M,-32.8,M,,*5+1,,,,,
$GPGGA,193429.000,3713.9601,1,08025.4853,-1,1,06,1.24,616.2,M,-32.8,M,,*51,,,,,
$GPGGA,193430.000,3713.9609,1,08025.4853,-1,1,06,1.31,616.3,M,-32.8,M,,*54,,,,,
$GPGGA,193431.000,3713.9616,1,08025.4853,-1,1,06,1.31,616.5,M,-32.8,M,,*5D,,,,,
$GPGGA,193432.000,3713.9623,1,08025.4854,-1,1,06,1.31,616.7,M,-32.8,M,,*5D,,,,,
$GPGGA,193433.000,3713.9630,1,08025.4856,-1,1,06,1.31,616.8,M,-32.8,M,,*53,,,,,
$GPGGA,193434.000,3713.9637,1,08025.4859,-1,1,06,1.24,617.0,M,-32.8,M,,*51,,,,,
$GPGGA,193435.000,3713.9643,1,08025.4863,-1,1,06,1.24,617.1,M,-32.8,M,,*5B,,,,,
$GPGGA,193436.000,3713.9649,1,08025.4868,-1,1,06,1.24,617.2,M,-32.8,M,,*5A,,,,,
$GPGGA,193437.000,3713.9655,1,08025.4873,-1,1,06,1.25,617.5,M,-32.8,M,,*5A,,,,,
